Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Jackal Buzzard",-,-,-,-,Animal,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Jackass Penguin",-,-,-,-,Animal,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Laughing Dove",-,-,-,50,Animal,4,0,0,4,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Peregrin falcon",-,-,-,-,Animal,2,0,0,2,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Pied crow",-,-,-,-,Animal,6,0,0,6,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Sacred Ibis",-,-,-,45,Animal,2,0,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Spotted eagle-owl",-,-,-,-,Animal,1,0,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Spur-winged Goose",-,-,-,-,Animal,1,1,0,0,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Swift tern",-,-,-,-,Animal,5,0,0,5,-
2018,Jan-Jun 2018,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,5,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
