Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Measuring units,New outbreaks,Susceptible,Cases,Killed and disposed of,Deaths,Latitude,Longitude,Year
Jan-Jun 2018,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Cape cormorant,Animal,2.2,33.6,1.0,0.0,1.0,-32.2171831,26.6386401,2018.0
Jan-Jun 2018,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Common Tern,Animal,2.2,33.6,1.0,1.0,0.0,-32.2171831,26.6386401,2018.0
Jan-Jun 2018,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Jackass Penguin,Animal,2.2,33.6,1.0,0.0,1.0,-32.2171831,26.6386401,2018.0
Jan-Jun 2018,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Swift tern,Animal,2.2,88.8,5.0,1.0,4.0,-32.2171831,26.6386401,2018.0
Jan-Jun 2018,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,65.6,9.2,0.2,16.0,-25.9363439,28.0813105,2018.0
Jan-Jun 2018,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,3.0,65.6,9.8,0.2,9.2,-25.9363439,28.0813105,2018.0
Jan-Jun 2018,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Blue crane,Animal,3.0,65.6,9.8,0.2,9.2,-25.9363439,28.0813105,2018.0
Jan-Jun 2018,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Sacred Ibis,Animal,3.0,187.8,1.0,0.0,0.0,-25.9363439,28.0813105,2018.0
Jan-Jun 2018,Africa,South Africa,Limpopo,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,231.6,11.4,0.0,10.8,-23.4735288,29.3959199,2018.0
Jan-Jun 2018,Africa,South Africa,Limpopo,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,3.0,85.0,11.0,0.0,11.0,-23.4735288,29.3959199,2018.0
Jan-Jun 2018,Africa,South Africa,Mpumalanga,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,97.8,1.8,0.0,0.8,-26.276849,30.1500153,2018.0
Jan-Jun 2018,Africa,South Africa,Mpumalanga,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,3.0,40.0,1.0,0.0,1.0,-26.276849,30.1500153,2018.0
Jan-Jun 2018,Africa,South Africa,North West Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,94.6,4.6,0.2,11.0,-26.1347819,25.6546729,2018.0
Jan-Jun 2018,Africa,South Africa,North West Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,3.0,82.0,8.0,0.0,8.0,-26.1347819,25.6546729,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,43.0,47.0,4.4,13.4,1186.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,21.0,269.6,2.4,13.4,7.2,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,African black oystercatcher,Animal,22.0,45.8,1.0,0.0,1.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,African rock pigeon,Animal,21.0,269.6,2.4,13.4,7.2,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Black-headed Heron,Animal,21.0,269.6,2.4,13.4,7.2,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Blue crane,Animal,21.0,269.6,2.4,13.4,7.2,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Cape cormorant,Animal,22.0,56.4,6.0,1.0,5.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Cape gannet,Animal,21.0,88.4,30.0,0.0,30.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Common Guineafowl,Animal,21.0,269.6,2.4,13.4,7.2,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Common Tern,Animal,22.0,48.0,4.0,1.0,3.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Crowned cormorant,Animal,22.0,45.8,1.0,0.0,1.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Egyptian Goose,Animal,22.0,563.8,1.0,1.0,0.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Grey-headed gull,Animal,22.0,563.8,1.0,0.0,0.0,-33.546977,20.72753,2018.0
Jan-Jun 2018,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Hartlaub's gull,Animal,22.0,68.4,5.0,3.0,2.0,-33.546977,20.72753,2018.0
